"focsp","Site","Cov","fac_sc","lambda_med","lambda_lwr","lambda_upr"
"TRCY","BEN","SH",0,5.1050009448832,1.73878111390744,8.16033988300636
"TRCY","BEN","SH",1,6.5536937089477,2.17491091318788,10.6831260348637
"TRCY","BEN","SH",2,8.40913031075931,2.75749895919531,14.9089899861283
"TRCY","BEN","SH",3,10.8108385937447,3.32887088739819,21.8019817845476
"TRCY","BEN","SH",4,13.8952232541451,3.96212464247578,32.6754877270283
"TRCY","BEN","SH",5,17.8315100256118,4.54738395848632,49.3131456831956
"TRCY","BEN","SH",6,22.8101582270907,5.14888106077025,74.9390686046915
"TRCY","BEN","SH",7,29.2516246341237,5.82352974088136,115.334359161553
"TRCY","BEN","SH",8,37.4523725924059,6.45649170969379,178.310264329643
"TRCY","BEN","SH",9,48.2242489691893,7.00949305032127,275.077760724293
"TRCY","BEN","SH",10,62.0246653602909,7.44781395055088,429.04089992553
"TRCY","BEN","SH",17,368.441887885383,12.1931091814679,9334.18593483101
"TRCY","BEN","SUN",0,10.8460193109599,3.66666516205071,17.4840056693783
"TRCY","BEN","SUN",1,11.5604018700477,3.88998591103636,18.4013309531506
"TRCY","BEN","SUN",2,12.2938565911832,4.07149875891658,19.6749943104444
"TRCY","BEN","SUN",3,13.0455387055974,4.22897945487149,21.2845408361474
"TRCY","BEN","SUN",4,13.855100279133,4.35393863099528,23.7460165601949
"TRCY","BEN","SUN",5,14.7174228105558,4.58827584799989,26.4885283467894
"TRCY","BEN","SUN",6,15.5603798563172,4.81159508682527,30.0913027297251
"TRCY","BEN","SUN",7,16.5049856686093,4.93504697355814,34.6804970652228
"TRCY","BEN","SUN",8,17.5498246722017,4.99125328986562,39.6669631996247
"TRCY","BEN","SUN",9,18.6811974083932,5.02861404282522,45.922420099979
"TRCY","BEN","SUN",10,19.8795310712784,5.15351058433727,53.4274804676581
"TRCY","BEN","SUN",17,30.480987225377,4.40316111411336,157.133769627461
"TRCY","CS","SH",0,1.39795530871523,0.439255250478591,2.53382430136969
"TRCY","CS","SH",1,0.723679782884494,0.0737009112892715,2.67065841767566
"TRCY","CS","SH",2,0.387061277411268,0.00560451027419068,4.28408951795663
"TRCY","CS","SH",3,0.206728452578522,0.000407813273358063,7.31662397135219
"TRCY","CS","SH",4,0.111174061383075,2.8193373461345e-05,12.8875872354966
"TRCY","CS","SH",5,0.0587383833911499,1.91821908551053e-06,22.5273122365031
"TRCY","CS","SH",6,0.0311184515009319,1.27543024376048e-07,39.1422186625724
"TRCY","CS","SH",7,0.0163943078871917,9.00753698901817e-09,68.7893313298602
"TRCY","CS","SH",8,0.00875186389199589,5.9330511815858e-10,120.924062572285
"TRCY","CS","SH",9,0.00471567167065467,3.90197747624588e-11,214.154264322242
"TRCY","CS","SH",10,0.00250392184794173,2.56620664361595e-12,373.664978398196
"TRCY","CS","SH",17,3.19657825594238e-05,1.5660847063602e-20,18164.1592327439
"TRCY","CS","SUN",0,2.98357423944546,0.939197456885328,5.28516730046278
"TRCY","CS","SUN",1,1.27326201539743,0.13126117632911,4.57605346244883
"TRCY","CS","SUN",2,0.563566059780825,0.00794425987951881,5.99214976631824
"TRCY","CS","SUN",3,0.248845130392879,0.00044178038780639,8.45484299724744
"TRCY","CS","SUN",4,0.109158712921773,2.50512485833867e-05,11.9016616677167
"TRCY","CS","SUN",5,0.0481169872927842,1.38631574955486e-06,16.755781887396
"TRCY","CS","SUN",6,0.0211131323402976,7.76531468723369e-08,24.1002662391004
"TRCY","CS","SUN",7,0.00932795091810049,4.15504089417548e-09,32.8825039988271
"TRCY","CS","SUN",8,0.00413862766816578,2.4316381160949e-10,45.8084347777236
"TRCY","CS","SUN",9,0.00184579184326527,1.47942879737371e-11,64.4097645695459
"TRCY","CS","SUN",10,0.000812100394600261,8.78067382164943e-13,95.2047889375293
"TRCY","CS","SUN",17,2.63608612127703e-06,1.41946850366509e-21,1108.15803356414
"TRCY","GH","SH",0,3.98427547693182,1.32552012663109,6.43854625202263
"TRCY","GH","SH",1,6.23468544717819,2.07835536503946,10.4711023355708
"TRCY","GH","SH",2,9.65535506980356,2.97563667899805,18.9415807633723
"TRCY","GH","SH",3,14.9689865950785,4.20969580571346,36.9071869829839
"TRCY","GH","SH",4,23.2270770148283,5.42449243075345,72.006400341408
"TRCY","GH","SH",5,36.1746784982416,6.96438231393295,144.296383534235
"TRCY","GH","SH",6,56.3495968653505,8.98820703430547,287.895359209197
"TRCY","GH","SH",7,88.2759705173705,11.051421261919,577.538339072776
"TRCY","GH","SH",8,138.500147440918,13.4380244917995,1167.72556094573
"TRCY","GH","SH",9,216.974914350039,16.4184530324838,2379.01142692171
"TRCY","GH","SH",10,340.758430094369,19.7374819978713,4837.53701513387
"TRCY","GH","SH",17,7798.43903414465,68.3414755292794,711514.077121883
"TRCY","GH","SUN",0,8.47349422553772,2.85590679429415,13.6189395257376
"TRCY","GH","SUN",1,10.9389551685345,3.68218431666883,17.7939470315249
"TRCY","GH","SUN",2,14.052752032085,4.60601918744441,25.0428382031233
"TRCY","GH","SUN",3,17.9927443908234,5.56770593025617,37.5174968902146
"TRCY","GH","SUN",4,23.1329636891335,6.43733737397629,57.5830513310371
"TRCY","GH","SUN",5,29.6486518715879,7.17521180027642,87.9726134506639
"TRCY","GH","SUN",6,38.1655567419304,7.74763968359055,138.360547470379
"TRCY","GH","SUN",7,49.1773356577048,8.30449626020069,214.072376121676
"TRCY","GH","SUN",8,63.1462878431654,9.00449130033391,335.05647583282
"TRCY","GH","SUN",9,81.1516109118641,9.48774566507368,532.889974853537
"TRCY","GH","SUN",10,104.062453515217,9.89503152213627,847.667354014066
"TRCY","GH","SUN",17,616.514905889447,14.0266680704234,22481.6914204733
"TRCY","NAM","SH",0,4.38530778629902,1.45750452468104,6.99744716353429
"TRCY","NAM","SH",1,6.19872805107131,2.04462146741071,10.1288703101014
"TRCY","NAM","SH",2,8.74235863783537,2.78985069256355,15.7846577630265
"TRCY","NAM","SH",3,12.3397508469805,3.77884874264538,25.9420048528222
"TRCY","NAM","SH",4,17.4575028463313,4.85950973487611,43.1288132478212
"TRCY","NAM","SH",5,24.7057370946036,6.03597514958564,72.6026794691583
"TRCY","NAM","SH",6,34.8929194136921,7.19796412885418,124.882382186097
"TRCY","NAM","SH",7,49.4989336476026,8.59735841769718,214.439158468071
"TRCY","NAM","SH",8,70.1783138915682,10.1860387481389,368.383564347345
"TRCY","NAM","SH",9,99.3298115802513,11.8585042810448,641.257682907747
"TRCY","NAM","SH",10,140.385950224364,14.3149974516112,1109.48858745832
"TRCY","NAM","SH",17,1646.73658434341,39.2551111602503,54709.8549801337
"TRCY","NAM","SUN",0,9.33914118499074,3.10335029261148,14.7909030445942
"TRCY","NAM","SUN",1,10.9480803806126,3.63276143821022,17.1739734759061
"TRCY","NAM","SUN",2,12.7660356136157,4.15877739840691,20.7569301201178
"TRCY","NAM","SUN",3,14.8823990621985,4.78026368983643,25.7434131418109
"TRCY","NAM","SUN",4,17.3548860296743,5.53690237215034,33.0642282517726
"TRCY","NAM","SUN",5,20.2397036212555,6.2062772083997,42.1827772848252
"TRCY","NAM","SUN",6,23.5952207971954,6.90809313794915,54.1742956174401
"TRCY","NAM","SUN",7,27.4706717767431,7.51568567884548,70.9233830120191
"TRCY","NAM","SUN",8,32.0132726350061,8.19249544460157,93.0579249134716
"TRCY","NAM","SUN",9,37.2768797888248,8.82094099684365,121.618918083192
"TRCY","NAM","SUN",10,43.5644442732003,9.28827015008621,159.44877804864
"TRCY","NAM","SUN",17,130.464940186542,12.8766088401991,1122.86102047349
"TRCY","PJ","SH",0,8.63384241487331,2.84429097033256,13.5715154701978
"TRCY","PJ","SH",1,9.65439291983824,3.22909943589503,15.4528246216209
"TRCY","PJ","SH",2,10.8396685925675,3.61847483644082,18.6499833432445
"TRCY","PJ","SH",3,12.1396725175111,3.999649866883,23.0511625805428
"TRCY","PJ","SH",4,13.6399687711863,4.26015779589887,29.4447076179542
"TRCY","PJ","SH",5,15.3239280156525,4.41933516699254,37.5270772816001
"TRCY","PJ","SH",6,17.2064825641356,4.499245295941,47.9257388118326
"TRCY","PJ","SH",7,19.3204476185182,4.5932821737865,62.3139289073785
"TRCY","PJ","SH",8,21.6439808615605,4.59190503674775,80.368360489402
"TRCY","PJ","SH",9,24.3225596633231,4.52454613082837,104.733116441791
"TRCY","PJ","SH",10,27.428269820403,4.44908270719311,136.130156825062
"TRCY","PJ","SH",17,62.5794593326584,3.80501432831144,884.96169598104
"TRCY","PJ","SUN",0,18.3504013690302,6.16730368444721,28.8435710965411
"TRCY","PJ","SUN",1,16.9457287674534,5.68187406243501,27.6393008586217
"TRCY","PJ","SUN",2,15.608582549012,5.13860050158779,29.5439234564336
"TRCY","PJ","SUN",3,14.345134002139,4.30669176864705,32.8195406192711
"TRCY","PJ","SUN",4,13.1844152522458,3.5144405341186,37.1707130717794
"TRCY","PJ","SUN",5,12.2241953876602,2.76107138339023,42.522930722842
"TRCY","PJ","SUN",6,11.3319062119248,2.10001949239757,48.996511614707
"TRCY","PJ","SUN",7,10.4870635339099,1.60001852470109,56.0549013569655
"TRCY","PJ","SUN",8,9.7296058907422,1.23325068297884,65.0778692900312
"TRCY","PJ","SUN",9,8.99430963496005,0.918619697854274,75.6086913681814
"TRCY","PJ","SUN",10,8.31567774823717,0.708257976448917,88.0109300698899
"TRCY","PJ","SUN",17,4.78736252204732,0.0824915582451157,263.478178642731
"TROR","BEN","SH",0,6.11049549338621,2.03816415748567,9.73829274964863
"TROR","BEN","SH",1,7.17405952528512,2.44768354465373,11.668308731389
"TROR","BEN","SH",2,8.33940182107061,2.79053409422944,15.5526447137307
"TROR","BEN","SH",3,9.72197498925025,3.01189362713354,21.9683459163033
"TROR","BEN","SH",4,11.3779437100519,2.98630347179551,31.6990408657423
"TROR","BEN","SH",5,13.3389437857917,2.91086049281622,46.117915591674
"TROR","BEN","SH",6,15.6102078129599,2.79659301461981,67.8993945909486
"TROR","BEN","SH",7,18.438673956295,2.68992102019734,101.230937070077
"TROR","BEN","SH",8,21.6552493054283,2.54789886129398,149.95932961281
"TROR","BEN","SH",9,25.507983165829,2.36244643768502,224.87324462835
"TROR","BEN","SH",10,29.9148881480306,2.20124389939272,337.035250040291
"TROR","BEN","SH",17,96.0830205452398,1.20390011752584,5757.07671698586
"TROR","BEN","SUN",0,9.85462219810935,3.33464496709013,15.9942239432088
"TROR","BEN","SUN",1,9.90897600945687,3.2996147224314,15.7761782956298
"TROR","BEN","SUN",2,9.93995264367621,3.32311900173743,15.890133109706
"TROR","BEN","SUN",3,9.97395547715836,3.36803668320502,16.3861272085913
"TROR","BEN","SUN",4,9.97196077627094,3.31915563405051,17.1943083062783
"TROR","BEN","SUN",5,10.0230373836694,3.32509232576997,18.2724162867648
"TROR","BEN","SUN",6,10.0161541488004,3.27560700737039,19.6804381199643
"TROR","BEN","SUN",7,10.0234429558322,3.20819897760983,21.2917790641529
"TROR","BEN","SUN",8,10.0492399636942,3.05761751950259,23.2988499933651
"TROR","BEN","SUN",9,10.1013522631575,2.88548069409887,25.5770564867646
"TROR","BEN","SUN",10,10.1431867576976,2.7170391472775,27.8822573364255
"TROR","BEN","SUN",17,10.3825525839609,1.61001707283026,55.3204484124616
"TROR","CS","SH",0,1.22211711865853,0.373201157980783,2.40712538134903
"TROR","CS","SH",1,1.19522910986693,0.107933600096082,4.54780525618117
"TROR","CS","SH",2,1.21476229224445,0.0159610333547074,14.0070352289403
"TROR","CS","SH",3,1.22438801895156,0.00203155075806372,47.2657960448385
"TROR","CS","SH",4,1.23728657610815,0.000251599567301575,158.90923458426
"TROR","CS","SH",5,1.24176637118805,3.13696944899599e-05,527.172333637884
"TROR","CS","SH",6,1.26530835924008,3.71876470002252e-06,1762.99817047519
"TROR","CS","SH",7,1.2690432166969,4.61481146316851e-07,6017.43279827381
"TROR","CS","SH",8,1.28209404992451,5.63307601558509e-08,19328.1282632325
"TROR","CS","SH",9,1.30810367190995,6.67966513377412e-09,63834.7868506157
"TROR","CS","SH",10,1.31748550042712,8.74576906724589e-10,222847.809796887
"TROR","CS","SH",17,1.4491718994456,3.33722425748298e-16,1103462102.47393
"TROR","CS","SUN",0,1.97668678142832,0.605728699796232,3.83709652394421
"TROR","CS","SUN",1,1.66248896134513,0.150286852183299,6.073559037021
"TROR","CS","SUN",2,1.43841889531178,0.0190698403019258,15.5103136676135
"TROR","CS","SUN",3,1.24616562783925,0.0021634245372486,41.4195426817257
"TROR","CS","SUN",4,1.06608602555885,0.000240894423817634,113.708092168311
"TROR","CS","SUN",5,0.932707669420518,2.42459654336915e-05,326.787574034636
"TROR","CS","SUN",6,0.802813214422212,2.63706757943622e-06,925.01893911959
"TROR","CS","SUN",7,0.70501134660521,2.73534173711211e-07,2590.09856226763
"TROR","CS","SUN",8,0.602626693609678,2.79895641661753e-08,7296.65706564749
"TROR","CS","SUN",9,0.524084811049305,3.04418389982341e-09,20311.3819309917
"TROR","CS","SUN",10,0.457454907251688,3.29685392951322e-10,57809.9714249427
"TROR","CS","SUN",17,0.163269398269362,4.3063357504593e-17,88141432.9830068
"TROR","GH","SH",0,5.07736066434608,1.64709992267566,8.19496026251563
"TROR","GH","SH",1,6.90484505378666,2.22275094887885,11.4042712682103
"TROR","GH","SH",2,9.28019856378646,2.92274071900229,18.0003219173983
"TROR","GH","SH",3,12.5107278279025,3.63305056040161,30.509028360888
"TROR","GH","SH",4,16.9728203850815,4.06348581719912,53.0754206389605
"TROR","GH","SH",5,23.0517183141358,4.30917581771894,93.3719858425408
"TROR","GH","SH",6,31.2505577395822,4.56933609186917,165.852661775549
"TROR","GH","SH",7,42.3519860622841,5.00760690816083,293.8345195868
"TROR","GH","SH",8,57.8096262075141,5.16321447602894,524.075238441689
"TROR","GH","SH",9,78.9207641334663,5.37958794672801,938.016924653503
"TROR","GH","SH",10,107.125611985813,5.58488367791682,1696.21513525661
"TROR","GH","SH",17,927.488466822129,6.75704592517673,99688.667589001
"TROR","GH","SUN",0,8.21427432192684,2.68096948955871,13.0411636976636
"TROR","GH","SUN",1,9.57177382358461,3.13437568922608,14.976296401245
"TROR","GH","SUN",2,11.0865034365575,3.66466655229546,17.9739033328003
"TROR","GH","SUN",3,12.7445606971549,4.12506353233607,22.3496314993721
"TROR","GH","SUN",4,14.6758595105332,4.63608143551488,28.7301870869298
"TROR","GH","SUN",5,16.8803327940479,5.1485374859745,36.970995013441
"TROR","GH","SUN",6,19.5326186041478,5.54157736589893,48.2836458328778
"TROR","GH","SUN",7,22.5364654066304,5.90588388040113,63.5071218608744
"TROR","GH","SUN",8,26.1818328723628,6.15760320472114,82.805115988694
"TROR","GH","SUN",9,30.3250588486834,6.43232960776116,109.000111689556
"TROR","GH","SUN",10,35.0031447255139,6.60323297606802,144.617951967723
"TROR","GH","SUN",17,98.6754468255177,7.70803946221989,1063.28732587705
"TROR","NAM","SH",0,4.25803182084232,1.40891978310734,6.96441919499335
"TROR","NAM","SH",1,5.05172521168697,1.69787260120605,8.52083003018692
"TROR","NAM","SH",2,5.99105592130619,1.93720292074966,11.5554994803204
"TROR","NAM","SH",3,7.06597631779763,2.03743632357258,16.8129318964287
"TROR","NAM","SH",4,8.40571188612,2.06576976144509,24.88098721181
"TROR","NAM","SH",5,10.0059974732775,1.98019965021034,36.9212883744434
"TROR","NAM","SH",6,11.8393571748411,1.95813458120341,55.7131844890214
"TROR","NAM","SH",7,14.0297104393905,1.81014614041112,85.0027046307945
"TROR","NAM","SH",8,16.6989926948759,1.68399380597262,129.20646474259
"TROR","NAM","SH",9,19.9953348306889,1.55262944729862,197.000345517153
"TROR","NAM","SH",10,23.7549068046832,1.42457969421951,304.530048324789
"TROR","NAM","SH",17,80.8260503974127,0.743479336911037,6150.68633945965
"TROR","NAM","SUN",0,6.90052831977273,2.2956253626782,11.0366858649113
"TROR","NAM","SUN",1,7.00314915519992,2.34834605515878,11.1738599840119
"TROR","NAM","SUN",2,7.11702070289319,2.31227188054716,11.8352929924625
"TROR","NAM","SUN",3,7.21568950140113,2.27831734107914,12.6685539694193
"TROR","NAM","SUN",4,7.33040745051079,2.23443287669446,13.8283112456075
"TROR","NAM","SUN",5,7.45790954268945,2.14319273116149,15.2162923181004
"TROR","NAM","SUN",6,7.56636099476069,2.02976186791463,16.9421605994599
"TROR","NAM","SUN",7,7.68999851174655,1.8946488696339,18.9743086499774
"TROR","NAM","SUN",8,7.80655286367704,1.72124011760235,21.3844571441666
"TROR","NAM","SUN",9,7.93021064174432,1.58850228298504,23.9527483589377
"TROR","NAM","SUN",10,8.07183009334743,1.46678613407247,27.1284126484982
"TROR","NAM","SUN",17,9.25567951923457,0.656588985297305,65.6940604439453
"TROR","PJ","SH",0,6.71772399541309,2.26125142472466,10.5272167607079
"TROR","PJ","SH",1,6.6406236375838,2.0831550521622,11.5734880981499
"TROR","PJ","SH",2,6.54666752296113,1.65539597455612,14.6005844016428
"TROR","PJ","SH",3,6.49864285141153,1.17804675604076,19.398450187906
"TROR","PJ","SH",4,6.47598642298281,0.794488195219846,26.5688135973143
"TROR","PJ","SH",5,6.51742297008303,0.517426501093891,36.8817054407984
"TROR","PJ","SH",6,6.53719663190706,0.3315274204081,50.5980878825126
"TROR","PJ","SH",7,6.63120905098223,0.208536292435282,70.464022217283
"TROR","PJ","SH",8,6.6389726597128,0.131407273821855,98.4785219735247
"TROR","PJ","SH",9,6.68636152581559,0.0807512237275237,137.111164705936
"TROR","PJ","SH",10,6.77408260090832,0.0512818422120204,187.663544678092
"TROR","PJ","SH",17,7.23969658946199,0.0018765933175016,1850.05042156435
"TROR","PJ","SUN",0,10.8202051469953,3.61751326171476,16.9539234775722
"TROR","PJ","SUN",1,9.08712816921591,2.89631136843404,16.6151489531726
"TROR","PJ","SUN",2,7.62005723085217,1.85617648964634,19.2883673158223
"TROR","PJ","SUN",3,6.42814043508581,1.10880604177888,23.7882598196883
"TROR","PJ","SUN",4,5.42900179632372,0.622972169604172,29.7583045704341
"TROR","PJ","SUN",5,4.59083116735539,0.333330381297665,37.2053346486705
"TROR","PJ","SUN",6,3.89744260728211,0.178819376760699,46.8788340082587
"TROR","PJ","SUN",7,3.29783320487011,0.0926960657322804,59.12667299652
"TROR","PJ","SUN",8,2.79307968827769,0.0479943713335036,74.9374853305526
"TROR","PJ","SUN",9,2.36805299291571,0.0264460929480918,94.3611234400056
"TROR","PJ","SUN",10,2.01870544326319,0.0135339435611271,119.141207542228
"TROR","PJ","SUN",17,0.641284994033033,0.000132055031096384,619.796620353497
